GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
moneyxchange,com.pe.moneyxchange.util,Constants,3,0,0,0,1,0,1,0,1,0
moneyxchange,com.pe.moneyxchange.expose.web,LoginController,15,6,2,0,4,3,2,1,1,1
moneyxchange,com.pe.moneyxchange.expose.web,RateController,19,3,2,0,5,1,2,1,1,1
moneyxchange,com.pe.moneyxchange.dao.impl,MongoLoginDao,52,3,0,0,8,1,2,1,2,1
moneyxchange,com.pe.moneyxchange.dao.impl,MongoRateDaoImpl,0,61,0,0,0,12,0,5,0,5
moneyxchange,com.pe.moneyxchange.util.exception,BadCredentialsException,4,0,0,0,2,0,1,0,1,0
moneyxchange,com.pe.moneyxchange.util.exception,RestExceptionHandler,101,7,0,0,22,2,5,2,5,2
moneyxchange,com.pe.moneyxchange.util.exception,DataNotFoundException,0,4,0,0,0,2,0,1,0,1
moneyxchange,com.pe.moneyxchange.util.exception,CustomValidationException,13,0,0,0,5,0,3,0,3,0
moneyxchange,com.pe.moneyxchange.config,ConfigProperties,0,25,0,0,0,8,0,3,0,3
moneyxchange,com.pe.moneyxchange.factory,DaoFactory,4,9,1,1,1,3,1,2,0,2
moneyxchange,com.pe.moneyxchange.model,RateQueryParam,17,0,0,0,4,0,5,0,5,0
moneyxchange,com.pe.moneyxchange.model,ResponseError,39,0,0,0,12,0,8,0,8,0
moneyxchange,com.pe.moneyxchange.model,RateResponse.RateResponseBuilder,0,22,0,0,0,6,0,4,0,4
moneyxchange,com.pe.moneyxchange.model,ResponseRateError,17,0,0,0,5,0,5,0,5,0
moneyxchange,com.pe.moneyxchange.model,RateResponse,6,13,0,0,2,5,2,2,2,2
moneyxchange,com.pe.moneyxchange.model,LoginRequest,17,0,0,0,4,0,5,0,5,0
moneyxchange,com.pe.moneyxchange,MoneyxchangeApplication,5,3,0,0,2,1,1,1,1,1
moneyxchange,com.pe.moneyxchange.factory.mongo,MongoDaoFactory,6,16,0,0,2,6,0,4,0,4
moneyxchange,com.pe.moneyxchange.factory.mongo,MongoConnection,7,43,0,2,3,14,0,5,0,4
moneyxchange,com.pe.moneyxchange.service.impl,RateServiceImpl,7,10,0,0,1,4,1,1,1,1
moneyxchange,com.pe.moneyxchange.service.impl,LoginServiceImpl,6,10,0,0,1,4,1,1,1,1
